key,types,level_one,level_two
"-22.59,148.35",premise,Dysart,Queensland
"-22.82,-43.39",street_address,Anchieta,Rio de Janeiro
"-22.82,-43.40",street_address,Anchieta,Rio de Janeiro
"-22.83,-43.30",street_address,Brás de Pina,Rio de Janeiro
"-22.83,-43.31",street_address,Cordovil,Rio de Janeiro
"-22.83,-43.39",street_address,Ricardo de Albuquerque,Rio de Janeiro
"-22.83,-43.40",street_address,Parque Anchieta,Rio de Janeiro
"-22.84,-43.26",street_address,Olaria,Rio de Janeiro
"-22.84,-43.27",street_address,Penha,Rio de Janeiro
"-22.84,-43.31",establishment,Penha,Rio de Janeiro
"-22.84,-43.36",street_address,Barros Filho,Rio de Janeiro
"-22.84,-43.37",street_address,Guadalupe,Rio de Janeiro
"-22.84,-47.06",street_address,Bairro das Palmeiras,São Paulo
"-22.85,-43.26",street_address,Ramos,Rio de Janeiro
"-22.85,-43.27",street_address,Olaria,Rio de Janeiro
"-22.86,-43.55",street_address,Campo Grande,Rio de Janeiro
"-22.89,-43.22",street_address,São Cristóvão,Rio de Janeiro
"-22.90,-43.17",route,Rio de Janeiro,Rio de Janeiro
"-22.90,-43.18",street_address,Centro,Rio de Janeiro
"-22.90,-43.21",street_address,Santo Cristo,Rio de Janeiro
"-22.90,-43.22",establishment,São Cristóvão,Rio de Janeiro
"-22.90,-43.23",street_address,Benfica,Rio de Janeiro
"-22.90,-43.25",street_address,Rocha,Rio de Janeiro
"-22.91,-43.18",street_address,Centro,Rio de Janeiro
"-22.91,-43.22",establishment,Rio de Janeiro,Rio de Janeiro
"-22.91,-43.23",street_address,Maracanã,Rio de Janeiro
"-22.91,-43.24",street_address,Maracanã,Rio de Janeiro
"-22.91,-43.25",route,Rio de Janeiro,Rio de Janeiro
"-22.91,-43.26",street_address,Engenho Novo,Rio de Janeiro
"-22.92,-43.23",street_address,Tijuca,Rio de Janeiro
"-22.92,-43.24",establishment,Vila Isabel,Rio de Janeiro
"-22.92,-43.25",street_address,Andaraí,Rio de Janeiro
"-22.93,-43.23",establishment,Tijuca,Rio de Janeiro
"-22.93,-43.24",establishment,Tijuca,Rio de Janeiro
"-22.94,-47.04",premise,Nucleo Residencial Bairro da Vitoria,São Paulo
"-22.95,-43.16",street_address,Urca,Rio de Janeiro
"-22.96,-43.16",route,Rio de Janeiro,Rio de Janeiro
"-22.96,-43.17",street_address,Leme,Rio de Janeiro
"-22.97,-47.01",street_address,Loteamento Residencial Nova Italia,São Paulo
"-22.97,-47.02",street_address,Chácaras Silvânia,São Paulo
"-22.98,-47.01",street_address,Vila Boa Esperanca,São Paulo
"-22.98,-47.02",street_address,Jardim Paiquere,São Paulo
"-22.99,-43.35",street_address,Barra da Tijuca,Rio de Janeiro
"-22.99,-43.36",street_address,Barra da Tijuca,Rio de Janeiro
"-23.00,-43.35",street_address,Barra da Tijuca,Rio de Janeiro
"-23.00,-43.36",establishment,Rio de Janeiro,Rio de Janeiro
"-23.01,-43.35",street_address,Barra da Tijuca,Rio de Janeiro
"-23.01,-46.97",premise,Fazenda Santana,São Paulo
"-23.01,-46.98",premise,Fazenda Santana,São Paulo
"-23.01,-46.99",street_address,Vila Santa Claudina,São Paulo
"-23.01,-47.00",street_address,Vila Pagano,São Paulo
"-23.02,-46.97",premise,Vila Joao XXIII,São Paulo
"-23.02,-46.98",premise,Residencial Terras de Vinhedo,São Paulo
"-23.02,-46.99",street_address,Jardim Tres Irmaos,São Paulo
"-23.02,-47.00",street_address,Vinhedo,São Paulo
"-23.49,-46.55",street_address,Vila Endres,São Paulo
"-23.49,-46.67",establishment,Vila Santa Maria,São Paulo
"-23.49,-46.68",street_address,Vila Maria Luisa,São Paulo
"-23.50,-46.64",street_address,Santa Teresinha,São Paulo
"-23.50,-46.67",establishment,Vila Diva,São Paulo
"-23.50,-46.68",electronics_store,Conjunto Residencial Novo Pacaembu,São Paulo
"-23.53,-46.54",street_address,Penha de França,São Paulo
"-23.59,-46.68",establishment,São Paulo,São Paulo
"-23.59,-46.69",establishment,São Paulo,São Paulo
"-23.60,-46.68",street_address,Vila Olímpia,São Paulo
"-23.61,-46.67",street_address,Indianópolis,São Paulo
"-23.63,-46.55",premise,Santa Maria,São Paulo
"-23.63,-46.56",street_address,Olímpico,São Paulo
"-23.66,-46.46",street_address,Jardim Rosina,São Paulo
"-23.67,-46.46",establishment,Matriz,São Paulo
"-26.26,-48.80",premise,Jardim Iririú,Santa Catarina
"-26.30,-48.84",street_address,Saguaçu,Santa Catarina
"-27.22,153.11",premise,Redcliffe,Queensland
"-27.25,153.08",premise,Clontarf,Queensland
"-27.36,-55.89",street_address,Posadas,Misiones
"-27.36,-55.90",street_address,Posadas,Misiones
"-27.37,-55.89",street_address,Posadas,Misiones
"-27.37,153.03",premise,Aspley,Queensland
"-27.38,153.03",street_address,Chermside,Queensland
"-27.38,153.11",route,Brisbane City,Queensland
"-27.44,153.01",street_address,Newmarket,Queensland
"-27.47,153.02",establishment,Brisbane City,Queensland
"-27.52,153.05",premise,Tarragindi,Queensland
"-27.53,153.05",premise,Tarragindi,Queensland
"-27.59,153.11",establishment,Brisbane City,Queensland
"-29.99,-51.30",street_address,Cidade Verde,Rio Grande do Sul
"-29.99,-51.31",street_address,Chácara,Rio Grande do Sul
"-30.03,-51.21",premise,Rio Branco,Rio Grande do Sul
"-30.03,-51.24",establishment,Porto Alegre,Rio Grande do Sul
"-30.04,-51.20",premise,Rio Branco,Rio Grande do Sul
"-30.35,117.11",route,Shire of Dalwallinu,Western Australia
"-30.36,117.11",route,Shire of Dalwallinu,Western Australia
"-30.36,117.12",street_address,Kalannie,Western Australia
"-31.61,-60.71",street_address,Santa Fe,Santa Fe
"-31.64,116.67",street_address,Northam,Western Australia
"-31.65,116.67",street_address,Northam,Western Australia
"-31.65,116.68",street_address,Northam,Western Australia
"-31.65,116.69",establishment,Northam,Western Australia
"-31.66,116.64",street_address,Northam,Western Australia
"-31.95,115.85",street_address,Perth,Western Australia
"-31.95,115.86",street_address,Perth,Western Australia
"-31.96,115.88",street_address,Perth,Western Australia
"-31.98,115.90",street_address,Victoria Park,Western Australia
"-32.05,115.74",street_address,North Fremantle,Western Australia
"-32.06,115.74",establishment,Western Australia,Western Australia
"-32.12,115.86",establishment,Jandakot,Western Australia
"-32.16,115.85",premise,Hammond Park,Western Australia
"-32.17,115.85",street_address,Hammond Park,Western Australia
"-32.17,115.86",premise,Aubin Grove,Western Australia
"-32.23,148.58",route,Dubbo City Council,New South Wales
"-32.23,148.59",street_address,Dubbo,New South Wales
"-32.24,148.59",premise,Dubbo,New South Wales
"-32.24,148.60",street_address,Bunglegumbie Road,New South Wales
"-32.25,148.58",premise,Dubbo,New South Wales
"-32.25,148.59",street_address,Dubbo,New South Wales
"-32.25,148.60",street_address,Dubbo,New South Wales
"-32.25,148.63",premise,Dubbo,New South Wales
"-32.26,148.60",street_address,Dubbo,New South Wales
"-33.44,-70.60",establishment,Providencia,Región Metropolitana
"-33.45,-70.60",premise,Ñuñoa,Región Metropolitana
"-33.45,-70.61",street_address,Ñuñoa,Región Metropolitana
"-33.47,-70.53",street_address,Penalolen,Región Metropolitana
"-33.47,-70.54",street_address,Penalolen,Región Metropolitana
"-33.48,-70.53",street_address,Penalolen,Región Metropolitana
"-33.48,-70.54",street_address,Barrio Consistorial de Peñalolén,Región Metropolitana
"-33.48,-70.55",street_address,Penalolen,Región Metropolitana
"-33.71,151.13",premise,Wahroonga,New South Wales
"-33.72,151.12",street_address,Wahroonga,New South Wales
"-33.72,151.13",premise,Turramurra,New South Wales
"-33.73,151.12",street_address,Warrawee,New South Wales
"-33.73,151.13",street_address,Turramurra,New South Wales
"-33.74,151.11",street_address,Wahroonga,New South Wales
"-33.75,151.10",route,New South Wales,New South Wales
"-33.75,151.11",street_address,South Turramurra,New South Wales
"-33.82,151.08",premise,Melrose Park,New South Wales
"-33.83,150.96",street_address,Greystanes,New South Wales
"-33.83,150.98",street_address,Merrylands,New South Wales
"-33.83,150.99",street_address,Merrylands,New South Wales
"-33.83,151.08",street_address,Wentworth Point,New South Wales
"-33.85,151.20",route,Australia,New South Wales
"-33.85,151.21",establishment,Milsons Point,New South Wales
"-33.86,151.20",street_address,Barangaroo,New South Wales
"-33.86,151.21",establishment,Australia,New South Wales
"-33.86,151.22",street_address,Sydney,New South Wales
"-33.87,151.20",premise,New South Wales,New South Wales
"-33.87,151.21",street_address,Sydney,New South Wales
"-33.90,150.85",street_address,Elizabeth Hills,New South Wales
"-33.90,150.86",premise,Green Valley,New South Wales
"-34.07,150.79",establishment,New South Wales,New South Wales
"-34.07,150.80",route,Campbelltown City Council,New South Wales
"-34.10,150.78",premise,Rosemeadow,New South Wales
"-34.10,150.79",premise,Rosemeadow,New South Wales
"-34.11,150.79",street_address,Rosemeadow,New South Wales
"-34.22,-70.77",route,Cachapoal,O'Higgins
"-34.44,-58.55",establishment,San Fernando,Buenos Aires
"-34.50,-58.51",street_address,Martínez,Buenos Aires
"-34.50,-58.52",street_address,Martínez,Buenos Aires
"-34.51,-58.52",street_address,Olivos,Buenos Aires
"-34.52,-58.46",route,Vicente López,Buenos Aires
"-34.55,-58.42",street_address,Palermo,Buenos Aires
"-34.55,-58.44",street_address,Belgrano,Buenos Aires
"-34.55,-58.45",premise,Belgrano,Buenos Aires
"-34.56,-58.42",route,Comuna 14,Buenos Aires
"-34.56,-58.43",street_address,Palermo,Buenos Aires
"-34.56,-58.47",street_address,Coghlan,Buenos Aires
"-34.57,-58.45",street_address,AJS,Buenos Aires
"-34.57,-58.46",street_address,Belgrano Residencial,Buenos Aires
"-34.57,-58.54",premise,San Martín,Buenos Aires
"-34.58,-58.42",establishment,Comuna 14,Buenos Aires
"-34.58,-58.45",street_address,BDE,Buenos Aires
"-34.58,-58.46",street_address,Chacarita,Buenos Aires
"-34.59,-58.38",establishment,Retiro,Buenos Aires
"-34.59,-58.39",street_address,Barrio Norte,Buenos Aires
"-34.60,-58.35",establishment,Puerto Madero,Buenos Aires
"-34.60,-58.36",route,Comuna 1,Buenos Aires
"-34.60,-58.37",establishment,San Nicolás,Buenos Aires
"-34.60,-58.38",street_address,ABS,Buenos Aires
"-34.60,-58.39",street_address,San Nicolás,Buenos Aires
"-34.61,-58.36",route,Comuna 1,Buenos Aires
"-34.61,-58.37",street_address,Monserrat,Buenos Aires
"-34.61,-58.38",street_address,AAP,Buenos Aires
"-34.61,-58.39",street_address,Monserrat,Buenos Aires
"-34.61,-58.42",street_address,ADB,Buenos Aires
"-34.61,-58.43",street_address,Almagro,Buenos Aires
"-34.62,-58.35",street_address,Puerto Madero,Buenos Aires
"-34.62,-58.43",street_address,Caballito,Buenos Aires
"-34.62,-58.45",establishment,Caballito,Buenos Aires
"-34.62,-58.48",street_address,Villa Santa Rita,Buenos Aires
"-34.62,-58.49",street_address,FDL,Buenos Aires
"-34.63,-58.45",premise,Caballito,Buenos Aires
"-34.63,-58.49",street_address,Vélez Sársfield,Buenos Aires
"-34.63,-58.50",street_address,EWG,Buenos Aires
"-34.65,-58.46",street_address,FIL,Buenos Aires
"-34.66,-58.46",street_address,Villa Soldati,Buenos Aires
"-34.67,-58.56",street_address,San Justo,Buenos Aires
"-34.85,-57.89",route,Ensenada,Buenos Aires
"-34.85,-57.90",route,Ensenada,Buenos Aires
"-34.85,-57.91",street_address,Ensenada,Buenos Aires
"-34.86,-57.89",street_address,ABH,Buenos Aires
"-34.86,-57.90",street_address,Ensenada,Buenos Aires
"-34.86,-57.91",establishment,Ensenada,Buenos Aires
"-34.86,-57.92",street_address,Ensenada,Buenos Aires
"-34.87,138.59",street_address,Kilburn,South Australia
"-34.88,-57.94",establishment,Ensenada,Buenos Aires
"-34.88,-57.95",route,Ensenada,Buenos Aires
"-34.88,138.59",street_address,Prospect,South Australia
"-34.89,-57.95",street_address,Ensenada,Buenos Aires
"-34.90,-57.92",establishment,Berisso,Buenos Aires
"-34.90,-57.93",airport,Calle 126,Buenos Aires
"-34.90,-57.94",street_address,La Plata,Buenos Aires
"-34.90,-57.95",street_address,La Plata,Buenos Aires
"-34.91,-57.92",street_address,Berisso,Buenos Aires
"-34.91,-57.93",establishment,La Plata,Buenos Aires
"-34.91,-57.94",street_address,La Plata,Buenos Aires
"-34.91,-57.95",establishment,La Plata,Buenos Aires
"-34.91,-57.96",establishment,Buenos Aires,Buenos Aires
"-34.91,-57.98",street_address,Tolosa,Buenos Aires
"-34.92,-57.92",street_address,DLG,Buenos Aires
"-34.92,-57.93",street_address,Calle 65,Buenos Aires
"-34.92,-57.94",street_address,La Plata,Buenos Aires
"-34.92,-57.95",street_address,La Plata,Buenos Aires
"-34.93,-57.93",street_address,La Plata,Buenos Aires
"-34.93,-57.94",street_address,La Plata,Buenos Aires
"-34.93,-57.95",street_address,Calle 16,Buenos Aires
"-34.93,-57.96",street_address,La Plata,Buenos Aires
"-34.93,-57.97",street_address,La Plata,Buenos Aires
"-34.95,138.57",street_address,Kurralta Park,South Australia
"-35.10,173.25",street_address,Kaitaia,Northland
"-35.11,173.25",establishment,New Zealand,Northland
"-35.11,173.26",street_address,Kaitaia,Northland
"-35.11,173.27",street_address,Kaitaia,Northland
"-35.12,173.25",street_address,Kaitaia,Northland
"-35.12,173.26",establishment,Kaitaia,Northland
"-35.24,174.12",street_address,Russell,Northland
"-35.25,174.12",street_address,Russell,Northland
"-35.25,174.13",route,Northland,Northland
"-35.26,174.07",route,Northland,Northland
"-35.26,174.08",route,Northland,Northland
"-35.26,174.12",establishment,Russell,Northland
"-35.26,174.13",street_address,Russell,Northland
"-35.27,174.07",route,Northland,Northland
"-35.27,174.08",route,Northland,Northland
"-35.28,174.09",street_address,Paihia,Northland
"-35.70,150.17",establishment,New South Wales,New South Wales
"-35.70,150.18",premise,North Batemans Bay,New South Wales
"-35.71,150.17",route,Eurobodalla Shire Council,New South Wales
"-35.73,150.19",street_address,Catalina,New South Wales
"-35.73,150.20",establishment,Batehaven,New South Wales
"-36.81,174.72",street_address,Birkenhead,Auckland
"-36.81,174.73",street_address,Birkenhead,Auckland
"-36.81,174.79",street_address,Bayswater,Auckland
"-36.82,174.79",street_address,Devonport,Auckland
"-36.82,174.80",street_address,Devonport,Auckland
"-36.84,174.76",street_address,Auckland CBD,Auckland
"-36.85,174.76",street_address,Auckland CBD,Auckland
"-36.85,174.77",establishment,Auckland CBD,Auckland
"-36.86,174.65",street_address,Te Atatu,Auckland
"-36.86,174.77",establishment,Grafton,Auckland
"-37.00,174.77",route,Auckland,Auckland
"-37.00,174.78",street_address,Mangere,Auckland
"-37.41,143.88",premise,Creswick,Victoria
"-37.41,143.89",street_address,Creswick,Victoria
"-37.42,143.88",street_address,Creswick,Victoria
"-37.42,143.89",street_address,Creswick,Victoria
"-37.43,143.88",route,Hepburn Shire,Victoria
"-37.43,143.89",street_address,Creswick,Victoria
"-37.50,143.80",street_address,Mitchell Park,Victoria
"-37.50,143.81",street_address,Miners Rest,Victoria
"-37.51,143.80",route,Ballarat City,Victoria
"-37.52,143.80",route,Ballarat City,Victoria
"-37.52,143.81",street_address,Mitchell Park,Victoria
"-37.52,143.82",route,Ballarat City,Victoria
"-37.52,143.83",premise,Wendouree,Victoria
"-37.52,143.84",street_address,Wendouree,Victoria
"-37.53,143.81",establishment,Wendouree,Victoria
"-37.53,143.82",street_address,Wendouree,Victoria
"-37.53,143.83",street_address,Wendouree,Victoria
"-37.53,143.84",street_address,Wendouree,Victoria
"-37.53,143.85",street_address,Wendouree,Victoria
"-37.53,143.86",street_address,Invermay Park,Victoria
"-37.54,143.81",street_address,Wendouree,Victoria
"-37.54,143.82",establishment,Wendouree,Victoria
"-37.54,143.83",establishment,Ballarat City,Victoria
"-37.54,143.84",street_address,Wendouree,Victoria
"-37.54,143.85",street_address,Wendouree,Victoria
"-37.54,143.86",street_address,Ballarat North,Victoria
"-37.54,143.87",street_address,Ballarat North,Victoria
"-37.54,143.88",street_address,Ballarat North,Victoria
"-37.55,143.81",premise,Alfredton,Victoria
"-37.55,143.82",street_address,Lake Wendouree,Victoria
"-37.55,143.83",route,Ballarat City,Victoria
"-37.55,143.84",street_address,Lake Wendouree,Victoria
"-37.55,143.85",street_address,Ballarat Central,Victoria
"-37.55,143.86",street_address,Soldiers Hill,Victoria
"-37.55,143.87",street_address,Black Hill,Victoria
"-37.55,143.88",street_address,Black Hill,Victoria
"-37.56,143.83",street_address,Newington,Victoria
"-37.56,143.84",street_address,Ballarat Central,Victoria
"-37.56,143.85",dentist,Ballarat Central,Victoria
"-37.56,143.86",street_address,Ballarat Central,Victoria
"-37.56,143.87",street_address,Ballarat East,Victoria
"-37.56,143.88",street_address,Ballarat East,Victoria
"-37.57,143.83",street_address,Redan,Victoria
"-37.57,143.84",street_address,Ballarat Central,Victoria
"-37.57,143.85",street_address,Ballarat Central,Victoria
"-37.57,143.86",premise,Golden Point,Victoria
"-37.57,143.87",establishment,Golden Point,Victoria
"-37.57,143.88",street_address,Ballarat East,Victoria
"-37.58,143.81",street_address,Delacombe,Victoria
"-37.58,143.83",street_address,Sebastopol,Victoria
"-37.58,143.84",street_address,Leith Street,Victoria
"-37.58,143.85",street_address,Mount Pleasant,Victoria
"-37.58,143.86",street_address,Mount Pleasant,Victoria
"-37.58,143.87",street_address,Golden Point,Victoria
"-37.59,143.82",street_address,Delacombe,Victoria
"-37.59,143.83",premise,Sebastopol,Victoria
"-37.59,143.84",street_address,Sebastopol,Victoria
"-37.60,143.82",route,Ballarat City,Victoria
"-37.60,143.83",street_address,Sebastopol,Victoria
"-37.60,143.84",establishment,Sebastopol,Victoria
"-37.61,143.83",street_address,Sebastopol,Victoria
"-37.62,143.80",street_address,Smythes Creek,Victoria
"-37.73,175.25",street_address,Flagstaff,Waikato
"-37.73,175.26",street_address,Rototuna North,Waikato
"-37.77,175.29",street_address,Fairfield,Waikato
"-37.77,175.30",street_address,Enderley,Waikato
"-37.77,175.31",street_address,Fairview Downs,Waikato
"-37.78,175.27",street_address,Whitiora,Waikato
"-37.78,175.28",street_address,Hamilton,Waikato
"-37.78,175.29",street_address,Claudelands,Waikato
"-37.78,175.30",street_address,Hamilton East,Waikato
"-37.78,175.31",street_address,Hamilton East,Waikato
"-37.78,175.32",street_address,Ruakura,Waikato
"-37.79,144.97",street_address,Carlton North,Victoria
"-37.79,175.27",street_address,Frankton,Waikato
"-37.79,175.28",premise,Waikato,Waikato
"-37.79,175.29",street_address,Hamilton East,Waikato
"-37.79,175.30",street_address,Hamilton East,Waikato
"-37.79,175.31",street_address,Hillcrest,Waikato
"-37.79,175.32",street_address,Hillcrest,Waikato
"-37.79,175.33",street_address,Silverdale,Waikato
"-37.80,144.95",street_address,North Melbourne,Victoria
"-37.80,144.96",street_address,Carlton,Victoria
"-37.80,144.98",street_address,Fitzroy,Victoria
"-37.80,175.24",street_address,Dinsdale,Waikato
"-37.80,175.26",establishment,Waikato,Waikato
"-37.80,175.27",street_address,Hamilton Lake,Waikato
"-37.80,175.28",street_address,Hamilton Lake,Waikato
"-37.80,175.30",street_address,Hamilton East,Waikato
"-37.80,175.31",street_address,Hillcrest,Waikato
"-37.80,175.32",street_address,Hillcrest,Waikato
"-37.80,175.35",street_address,Tamahere,Waikato
"-37.80,175.36",street_address,Tamahere,Waikato
"-37.81,144.95",establishment,Melbourne City,Victoria
"-37.81,144.96",premise,Melbourne,Victoria
"-37.81,144.97",street_address,Melbourne,Victoria
"-37.81,144.98",street_address,East Melbourne,Victoria
"-37.81,175.26",route,Hamilton,Waikato
"-37.81,175.35",street_address,Tamahere,Waikato
"-37.82,144.96",establishment,Melbourne City,Victoria
"-38.05,145.25",street_address,Lynbrook,Victoria
"-38.08,145.19",street_address,Carrum Downs,Victoria
"-4.06,39.66",establishment,Mombasa,Mombasa County
"-40.35,175.60",street_address,Takaro,Manawatu-Wanganui
"-40.35,175.61",street_address,Palmerston North,Manawatu-Wanganui
"-40.36,175.61",street_address,Palmerston North,Manawatu-Wanganui
"-41.19,174.79",street_address,Ohariu,Wellington
"-41.19,174.80",route,Wellington,Wellington
"-41.20,174.79",street_address,Churton Park,Wellington
"-41.20,174.80",street_address,Churton Park,Wellington
"-41.20,174.81",street_address,Churton Park,Wellington
"-41.21,174.80",street_address,Churton Park,Wellington
"-41.22,174.80",street_address,Johnsonville,Wellington
"-41.22,174.81",street_address,Johnsonville,Wellington
"-41.28,173.22",street_address,Tahunanui,Nelson
"-41.28,173.23",route,Nelson,Nelson
"-41.28,174.77",street_address,Kelburn,Wellington
"-41.28,174.78",street_address,Pipitea,Wellington
"-41.29,173.22",route,Nelson,Wellington
"-41.29,173.23",airport,Nelson Airport,Nelson
"-41.29,174.77",street_address,Te Aro,Wellington
"-41.29,174.78",bar,Wellington,Wellington
"-41.30,174.79",establishment,Mount Victoria,Wellington
"-41.30,174.80",street_address,Hataitai,Wellington
"-41.31,174.79",establishment,Hataitai,Wellington
"-41.31,174.80",establishment,New Zealand,Wellington
"-42.07,145.54",route,West Coast Council,Tasmania
"-42.07,145.55",route,West Coast Council,Tasmania
"-42.08,145.54",airport,Queenstown,Tasmania
"-42.08,145.55",street_address,Queenstown,Tasmania
"-42.76,147.23",street_address,Granton,Tasmania
"-42.76,147.24",establishment,Glenorchy City Council,Tasmania
"-42.77,147.23",street_address,Granton,Tasmania
"-42.77,147.24",street_address,Granton,Tasmania
"-42.82,147.26",street_address,Rosetta,Tasmania
"-42.82,147.27",street_address,Brooker Highway,Tasmania
"-42.83,147.27",establishment,Glenorchy,Tasmania
"-42.83,147.28",street_address,Glenorchy,Tasmania
"-42.86,147.32",route,Hobart City Council,Tasmania
"-42.88,147.31",street_address,West Hobart,Tasmania
"-42.88,147.32",establishment,Hobart,Tasmania
"-42.88,147.33",establishment,Hobart,Tasmania
"-42.89,147.31",street_address,West Hobart,Tasmania
"-42.89,147.32",street_address,Hobart,Tasmania
"-42.97,147.32",street_address,Kingston,Tasmania
"-42.98,147.32",street_address,Kingston Beach,Tasmania
"-6.21,106.62",street_address,RT 004,Banten
"-6.21,106.63",street_address,4,Banten
"-6.22,106.62",street_address,RT 001,Banten
"-6.23,106.62",street_address,Jalan Zaitun Raya,Banten
"-6.24,106.62",street_address,2,Banten
"-6.87,107.59",street_address,Sukarasa,Jawa Barat
"-6.88,107.58",establishment,Sarijadi,Jawa Barat
"-6.88,107.60",premise,Pasteur,Jawa Barat
"-6.89,107.61",route,Kecamatan Coblong,Jawa Barat
"-6.89,107.63",street_address,Sadang Serang,Jawa Barat
"-6.90,107.59",street_address,Pajajaran,Jawa Barat
"-6.90,107.61",establishment,Tamansari,Jawa Barat
"-6.90,107.62",establishment,Cihaur Geulis,Jawa Barat
"-6.90,107.63",street_address,Cihaur Geulis,Jawa Barat
"-6.93,107.54",street_address,Margaasih,Jawa Barat
"-6.93,107.55",route,Kecamatan Bandung Kulon,Jawa Barat
"-6.93,107.56",street_address,Gempolsari,Jawa Barat
"-6.93,107.57",street_address,Cigondewah Kaler,Jawa Barat
"-6.94,107.53",route,Kecamatan Cihampelas,Jawa Barat
"-6.94,107.54",street_address,Margaasih,Jawa Barat
"-6.94,107.56",street_address,Cigondewah Kidul,Jawa Barat
"-6.94,107.58",street_address,Babakan Ciparay,Jawa Barat
"-6.94,107.59",establishment,Kota Bandung,Jawa Barat
"-7.21,-35.88",street_address,Centro,Paraíba
"-7.74,110.40",street_address,Manukan,Daerah Istimewa Yogyakarta
"-7.74,110.41",establishment,Mladangan,Daerah Istimewa Yogyakarta
"-7.75,110.40",street_address,Sanggrahan,Daerah Istimewa Yogyakarta
"-7.75,110.41",street_address,Gempol,Daerah Istimewa Yogyakarta
"-7.75,110.42",route,Kecamatan Ngemplak,Daerah Istimewa Yogyakarta
"-7.76,110.40",street_address,Kaliwaru,Daerah Istimewa Yogyakarta
